Temparature,Humidity,Moisture,Soil_Type,Crop_Type,Nitrogen,Potassium,Phosphorous,Fertilizer
20,83,26,Clay,rice,90,49,36,Urea
25,84,32,Loamy,rice,66,59,36,Urea
33,64,50,Loamy,Wheat,41,0,0,Urea
34,65,54,Loamy,Wheat,38,0,0,Urea
38,72,51,Loamy,Wheat,39,0,0,Urea
31,62,32,Red,Tobacco,39,0,0,Urea
32,62,30,Loamy,Sugarcane,38,0,0,Urea
34,65,60,Black,Sugarcane,35,0,0,Urea
33,64,34,Clay,Pulses,38,0,0,Urea
28,54,38,Clay,Pulses,40,0,0,Urea
27,55,44,Loamy,pomegranate,2,24,38,Urea
28,54,46,Clay,Paddy,35,0,0,Urea
34,65,38,Clay,Paddy,39,0,0,Urea
28,54,41,Clay,Paddy,36,0,0,Urea
27,53,35,Black,Oil seeds,37,0,0,Urea
27,53,34,Black,Oil seeds,42,0,0,Urea
28,54,37,Black,Millets,36,0,0,Urea
28,54,35,Black,Millets,41,0,0,Urea
30,60,40,Sandy,Millets,41,0,0,Urea
27,53,30,Black,Millets,35,0,0,Urea
26,52,38,Sandy,Maize,37,0,0,Urea
30,60,29,Red,Ground Nuts,41,0,0,Urea
36,68,41,Red,Ground Nuts,41,0,0,Urea
25,50,65,Loamy,Cotton,36,0,0,Urea
28,54,65,Black,Cotton,39,0,0,Urea
26,53,28,Loamy,coffee,85,33,25,Urea
26,66,30,Loamy,coffee,80,30,25,Urea
25,85,60,Loamy,watermelon,110,10,54,TSP
26,82,25,Loamy,rice,86,41,36,TSP
30,88,44,Loamy,pomegranate,5,15,38,TSP
25,82,65,Loamy,watermelon,100,24,54,TSP
26,80,59,Loamy,watermelon,109,27,54,TSP
30,89,30,Loamy,pomegranate,5,21,38,TSP
26,82,27,Loamy,rice,73,48,36,TSP
25,55,53,Loamy,pomegranate,0,27,38,Superphosphate
28,61,33,Loamy,pomegranate,31,25,38,Superphosphate
27,85,37,Loamy,pomegranate,21,21,38,Superphosphate
29,82,39,Loamy,pomegranate,15,11,38,Potassium sulfate.
30,83,63,Loamy,pomegranate,39,30,38,Potassium sulfate.
26,78,43,Sandy,Cotton,22,26,38,Potassium sulfate.
25,79,59,Loamy,Cotton,117,43,25,Potassium chloride
26,84,44,Loamy,watermelon,92,8,54,DAP
25,83,30,Loamy,watermelon,114,27,54,DAP
25,81,41,Clay,rice,75,47,36,DAP
